id,"date_created","text_raw","category_parent","category_child","responsible","lat","lon","address_input","detail_url" 	
2446027,"2025-12-28","Seit Monaten ist die Strassenbeleuchtung vor unserer Haustuer ausgefallen","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6719","9.1763","keine (autom. ermittelt: Sankt-Gebhard-Strasse 28, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2446027"	
2445729,"2025-12-28","Schild alt und unkenntlich, keine Reflektionen mehr bei Nacht","Strassen, Fahrrad & Verkehr","Schilder unkenntlich","Technische Betriebe","47.7435","9.1099","keine (autom. ermittelt: Langenrainer Str. 16, 78465 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2445729"	
2445211,"2025-12-28","Strassenlaterne Nr. 23 in der Steinstrasse Hoehe Bismarcksteig 2 defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6747","9.177","keine (autom. ermittelt: Gustav-Schwab-Strasse 14N, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2445211"	
2444615,"2025-12-27","Am Bodensee Radweg beim Bahnhaltepunkt Petershausen liegt eine vergessene Fussplatte eines temporaeren Bauzauns.","Oeffentliche Orte/Ufer","Freizeitgelaende beschaedigt / verunreinigt","Technische Betriebe","47.6737","9.1741","keine (autom. ermittelt: Bruder-Klaus-Strasse 10a, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2444615"	
2443643,"2025-12-26","Muell","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.672","9.1769","keine (autom. ermittelt: Von-Emmich-Strasse 13, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2443643"	
2443641,"2025-12-26","Mal wieder Muell an dieser Stelle","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.6723","9.1761","keine (autom. ermittelt: Sankt-Gebhard-Strasse 39, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2443641"	
2443097,"2025-12-26","Auf den letzten 3 Bauabschnitten sind die Guellideckel zu Sprungschanzen geworden.","Strassen, Fahrrad & Verkehr","Radwege schadhaft","Technische Betriebe","47.7046","9.1414","keine (autom. ermittelt: L220, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2443097"	
2442567,"2025-12-25","sehr schlaue Nachbarn haben bereits an Heiligabend ihre gelben Saecke rausgestellt, die durch den Wind auf der ganzen Strasse verrteilt wurden","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.6721","9.1771","keine (autom. ermittelt: Von-Emmich-Strasse 16a, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2442567"	
2442543,"2025-12-25","Teppich am Stromhaus abgelegt","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.673","9.1816","keine (autom. ermittelt: Jahnstrasse 17, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2442543"	
2442541,"2025-12-25","Fahrrad steht schon 3 Wochen","Strassen, Fahrrad & Verkehr","Fahrrad gefunden","Buergerbuero - Fundsachen","47.673","9.1816","keine (autom. ermittelt: Jahnstrasse 17, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2442541"	
2442381,"2025-12-25","Schrottfahrrad ist dort deponiert.","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.683","9.1473","keine (autom. ermittelt: Konstanz-Wollmatingen, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2442381"	
2442363,"2025-12-25","Sturmschaeden","Pflanzenwuchs","Verkehrsbehindernder Heckenwuchs, Straeucher","Stadtverwaltung","47.707","9.1765","keine (autom. ermittelt: P54G+JJ, 78465 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2442363"	
2440651,"2025-12-23","kotbeutel erneut hier einfach abgeladen.nicht das erste mal!!!muelltonne aufstellen???","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.6927","9.1369","keine (autom. ermittelt: Loewernweg 40, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2440651"	
2439601,"2025-12-22","Am Kilometer 0 des Rheins ist ein offenkundig nicht mehr funktionstuechtiges Fshrrad mit verbeultem Hinterrad abgestellt.","Strassen, Fahrrad & Verkehr","Fahrrad gefunden","Buergerbuero - Fundsachen","47.6659","9.1778","keine (autom. ermittelt: Konzilstrasse 21, 78462 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2439601"	
2439597,"2025-12-22","An der Schottenstrasse beim Humboldt Gymnasium steht ein offenkundig nicht mehr funktionstuechtiges Fahrrad ohne Hinterrad","Strassen, Fahrrad & Verkehr","Fahrrad gefunden","Buergerbuero - Fundsachen","47.6666","9.1731","keine (autom. ermittelt: Schottenstrasse 75, 78462 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2439597"	
2439507,"2025-12-22","Sitzbank wurde umgeworfen und den Hang hinab gestossen","Oeffentliche Orte/Ufer","Spielplaetze schadhaft / verunreinigt","Stadtverwaltung","47.7363","9.115","keine (autom. ermittelt: Hangweg 6, 78465 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2439507"	
2439499,"2025-12-22","Strassenlaterne Nr. 4 auch defekt.Weg wird zunehmend ungenuegend beleuchtet, da auch Nummer 6 immer noch defekt ist.","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.736","9.1152","keine (autom. ermittelt: Hangweg 6, 78465 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2439499"	
2439289,"2025-12-22","Leuchtet nicht im Bereich der oeffentlichen Treppe","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6868","9.1591","keine (autom. ermittelt: Liebigweg 6, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2439289"	
2439107,"2025-12-22","Strassenlaterne Nr.1 ist defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.7345","9.1183","keine (autom. ermittelt: Ringstrasse 113, 78465 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2439107"	
2438961,"2025-12-22","Auf dem Spielplatz liegen ueberall kaputte Spielsachen mit z.T. scharfen Kanten (Beispielfotos angehaengt) -> Verletzungsgefahr","Oeffentliche Orte/Ufer","Spielplaetze schadhaft / verunreinigt","Technische Betriebe","47.6751","9.1895","keine (autom. ermittelt: Sierenmoosstrasse 40, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2438961"	
2437447,"2025-12-21","Am Durchgang zwischen Hansegartenstrasse und Altmannsdorfer Strasse brennt die Lampe nicht - seit Juli gemeldet!!","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6738","9.1848","keine (autom. ermittelt: Beyerlestrasse 1, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2437447"	
2437319,"2025-12-21","3 Lampen defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6815","9.198","keine (autom. ermittelt: Zum Hinterhag 11, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2437319"	
2437205,"2025-12-21","Lampe defekt","Beleuchtung","Strassenlaternen defekt","Stadtwerke Konstanz","47.6843","9.2002","keine (autom. ermittelt: Mainaustrasse 179, 78464 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2437205"	
2436697,"2025-12-21","Bereits dreimal angerufen, Muell liegt immer noch unterhalb der Elberfeldbruecke direkt beim Fahrradweg","Muell/Sauberkeit","Illegaler Muell","Amt fuer Stadtplanung und Umwelt","47.6769","9.1616","keine (autom. ermittelt: Konrad-Zuse-Strasse 18, 78467 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2436697"	
2436577,"2025-12-21","Am Grenzbachtunnel auf der deutschen Seite, schraeg hinter dem Wohnhaus Schuetzenstrasse 42 ist am Tunnel eine Scheibe komplett draussen,Scherben liegen am Boden,das muesste relativ frisch sein.","Muell/Sauberkeit","verschmutzte Strassen und Plaetze","Hochbauamt","47.6581","9.167","keine (autom. ermittelt: Schuetzenstrasse 42, 78462 Konstanz, Germany","https://konstanz-mitgestalten.de/bms/2436577"	
